,query_id,iter,doc_id,relevance,title,abstract,text
10,CD010213,0,10029287,0,Images of interest. Hepatobiliary and pancreatic patient: thread-like vessels in an arteriogram.,No abstract,Images of interest. Hepatobiliary and pancreatic patient: thread-like vessels in an arteriogram. - No abstract
11,CD010213,0,25098611,1,Core biopsy needle versus standard aspiration needle for endoscopic ultrasound-guided sampling of solid pancreatic masses: a randomized parallel-group study.,An endoscopic ultrasound (EUS)-guided fine needle biopsy (EUS-FNB) device using a core biopsy needle was developed to improve diagnostic accuracy by simultaneously obtaining cytological aspirates and histological core samples. We prospectively compared the diagnostic accuracy of EUS-FNB with standard EUS-guided fine needle aspiration (EUS-FNA) in patients with solid pancreatic masses.,Core biopsy needle versus standard aspiration needle for endoscopic ultrasound-guided sampling of solid pancreatic masses: a randomized parallel-group study. - An endoscopic ultrasound (EUS)-guided fine needle biopsy (EUS-FNB) device using a core biopsy needle was developed to improve diagnostic accuracy by simultaneously obtaining cytological aspirates and histological core samples. We prospectively compared the diagnostic accuracy of EUS-FNB with standard EUS-guided fine needle aspiration (EUS-FNA) in patients with solid pancreatic masses.
12,CD010213,0,15372284,0,Choledochal cyst and duodenal atresia: a rare combination of malformations.,"A rare case of congenital duodenal atresia (DA) associated with a choledochal cyst (CC) is reported. At 38 weeks of gestation, a 1,610-g girl was born by cesarean section with a prenatal diagnosis of congenital DA. After the disease was confirmed by radiographs, she underwent a duodenoduodenostomy for complete separation of the duodenum with an annular pancreas. Thirty-two months after the initial operation, she developed upper abdominal pain and acholic stools. Abdominal ultrasonography demonstrated a CC and dilated intrahepatic bile ducts. Magnetic resonance cholangiopancreatography showed an anomalous arrangement of the choledochus and the main pancreatic duct. A diffusely dilated extrahepatic bile duct was resected, and a hepaticoduodenostomy was performed after a cholecystectomy. The patient was discharged without complications. We could not find a similar case report in the English literature. Although it is not reported that there is a close relation of DA and CC in embryologic development, the presence of this combination should be considered.","Choledochal cyst and duodenal atresia: a rare combination of malformations. - A rare case of congenital duodenal atresia (DA) associated with a choledochal cyst (CC) is reported. At 38 weeks of gestation, a 1,610-g girl was born by cesarean section with a prenatal diagnosis of congenital DA. After the disease was confirmed by radiographs, she underwent a duodenoduodenostomy for complete separation of the duodenum with an annular pancreas. Thirty-two months after the initial operation, she developed upper abdominal pain and acholic stools. Abdominal ultrasonography demonstrated a CC and dilated intrahepatic bile ducts. Magnetic resonance cholangiopancreatography showed an anomalous arrangement of the choledochus and the main pancreatic duct. A diffusely dilated extrahepatic bile duct was resected, and a hepaticoduodenostomy was performed after a cholecystectomy. The patient was discharged without complications. We could not find a similar case report in the English literature. Although it is not reported that there is a close relation of DA and CC in embryologic development, the presence of this combination should be considered."
13,CD010409,0,159678,0,[Lymphatic bed of layers of the abdominal wall in the human inguinal area].,"Lymphatic bed in the layers of the inguinal area was studied in connection with age in 70 human corpses. Polychromic injection of arteries, veins and lymphatic bed, staining of preparations after van Gieson, Weigert, with hematoxylin-eosin and morphometry were the methods applied. It was stated that lymphatic capillaries penetrate through all the layers forming the abdominal wall of the human inguinal area; they arrange interconnected networks in dermis, in external and internal oblique and transversal muscles and in their aponeuroses, as well as in fasciae and in the peritoneum. The lymphatic bed in question changes during ontogenesis. Age transformations of the lymphatic capillaries are in connection with functional loading on the anterior abdominal wall. Intraorganic connections existing between the lymphatic vessels of the anterior abdominal wall and the organs of the small pelvis (urinary bladder, uterus, rectum, etc.) are revealed, they are of a rather great interest for physicians.","[Lymphatic bed of layers of the abdominal wall in the human inguinal area]. - Lymphatic bed in the layers of the inguinal area was studied in connection with age in 70 human corpses. Polychromic injection of arteries, veins and lymphatic bed, staining of preparations after van Gieson, Weigert, with hematoxylin-eosin and morphometry were the methods applied. It was stated that lymphatic capillaries penetrate through all the layers forming the abdominal wall of the human inguinal area; they arrange interconnected networks in dermis, in external and internal oblique and transversal muscles and in their aponeuroses, as well as in fasciae and in the peritoneum. The lymphatic bed in question changes during ontogenesis. Age transformations of the lymphatic capillaries are in connection with functional loading on the anterior abdominal wall. Intraorganic connections existing between the lymphatic vessels of the anterior abdominal wall and the organs of the small pelvis (urinary bladder, uterus, rectum, etc.) are revealed, they are of a rather great interest for physicians."
14,CD009263,0,18470455,1,Advances in preclinical SPECT instrumentation.,"Preclinical SPECT of rodents is both in demand and very demanding. The need for high spatial resolution in combination with good sensitivity has given rise to considerable innovation in the areas of detectors, collimation, acquisition geometry, and image reconstruction. Some of the developments described herein are beginning to carry over into clinical imaging as well.","Advances in preclinical SPECT instrumentation. - Preclinical SPECT of rodents is both in demand and very demanding. The need for high spatial resolution in combination with good sensitivity has given rise to considerable innovation in the areas of detectors, collimation, acquisition geometry, and image reconstruction. Some of the developments described herein are beginning to carry over into clinical imaging as well."
15,CD010213,0,22517672,1,Does on-site adequacy evaluation reduce the nondiagnostic rate in endoscopic ultrasound-guided fine-needle aspiration of pancreatic lesions?,This retrospective study compared the nondiagnostic rate for endoscopic ultrasound-guided (EUS) fine-needle aspiration (FNA) of pancreatic lesions in 2 settings: 1 with and 1 without on-site evaluation.,Does on-site adequacy evaluation reduce the nondiagnostic rate in endoscopic ultrasound-guided fine-needle aspiration of pancreatic lesions? - This retrospective study compared the nondiagnostic rate for endoscopic ultrasound-guided (EUS) fine-needle aspiration (FNA) of pancreatic lesions in 2 settings: 1 with and 1 without on-site evaluation.
16,CD010409,0,21788708,0,Assessment of lymph node tuberculosis in two provinces in Turkey.,"The aim of this study was to evaluate lymph node tuberculosis (LNT) cases in two provinces in Turkey with different demographic and socioeconomic characteristics. A total of 109 LNT cases were reviewed retrospectively. The cases were analyzed and compared for symptoms, findings, age, vaccination status, and diagnostic procedures. Socioeconomic conditions were also assessed for the two provinces. A palpable cervical node was considered a significant predictor for all LNT. Mediastinal lymph node involvement was found to be common in cases of pulmonary manifestation of LNT. Female patients were predominantly from the Van Province, while older patients were found to be from Izmir Province. LNT should be suspected in lymphadenitis patients of all age-groups especially in young adolescents with cervical lymph node enlargements. In the presence of mediastinal lymphadenopathy, pulmonary tuberculosis should be investigated.","Assessment of lymph node tuberculosis in two provinces in Turkey. - The aim of this study was to evaluate lymph node tuberculosis (LNT) cases in two provinces in Turkey with different demographic and socioeconomic characteristics. A total of 109 LNT cases were reviewed retrospectively. The cases were analyzed and compared for symptoms, findings, age, vaccination status, and diagnostic procedures. Socioeconomic conditions were also assessed for the two provinces. A palpable cervical node was considered a significant predictor for all LNT. Mediastinal lymph node involvement was found to be common in cases of pulmonary manifestation of LNT. Female patients were predominantly from the Van Province, while older patients were found to be from Izmir Province. LNT should be suspected in lymphadenitis patients of all age-groups especially in young adolescents with cervical lymph node enlargements. In the presence of mediastinal lymphadenopathy, pulmonary tuberculosis should be investigated."
17,CD010213,0,10968852,1,"EUS, PET, and CT scanning for evaluation of pancreatic adenocarcinoma.","Preoperative diagnosis of pancreatic adenocarcinoma can be difficult. Computed tomography (CT) is the standard, noninvasive imaging method for evaluation of suspected pancreatic adenocarcinoma, but it has limited sensitivity for diagnosis, local staging, and metastases. Endoscopic ultrasound (EUS) and fluoro-deoxyglucose/positron emission tomography (FDG-PET) are imaging methods that may improve diagnostic accuracy.","EUS, PET, and CT scanning for evaluation of pancreatic adenocarcinoma. - Preoperative diagnosis of pancreatic adenocarcinoma can be difficult. Computed tomography (CT) is the standard, noninvasive imaging method for evaluation of suspected pancreatic adenocarcinoma, but it has limited sensitivity for diagnosis, local staging, and metastases. Endoscopic ultrasound (EUS) and fluoro-deoxyglucose/positron emission tomography (FDG-PET) are imaging methods that may improve diagnostic accuracy."
18,CD010409,0,2070101,0,[Endosonographic staging of cancers of the esophagus and stomach. Comparison with surgical and histopathologic staging].,"64 patients (38 with esophageal and 26 with gastric carcinoma) underwent a preoperative endosonography. In 21 patients with esophageal tumors and in 24 patients with gastric tumors a complete endosonographic examination was performed. In 16 of 21 patients (76%) with esophageal carcinoma the tumor infiltration (T-stage), and in 16 of 18 cases (89%) the lymph node metastases (N-stage) could be assessed accurately. The depth of infiltration of cardia and gastric carcinoma was recognized in 15 of 19 cases (79%), and in 13 of 18 patients (72%) the N-stage was evaluated. Endosonography represents a method which can accurately predict tumor infiltration and regional lymph node metastases.","[Endosonographic staging of cancers of the esophagus and stomach. Comparison with surgical and histopathologic staging]. - 64 patients (38 with esophageal and 26 with gastric carcinoma) underwent a preoperative endosonography. In 21 patients with esophageal tumors and in 24 patients with gastric tumors a complete endosonographic examination was performed. In 16 of 21 patients (76%) with esophageal carcinoma the tumor infiltration (T-stage), and in 16 of 18 cases (89%) the lymph node metastases (N-stage) could be assessed accurately. The depth of infiltration of cardia and gastric carcinoma was recognized in 15 of 19 cases (79%), and in 13 of 18 patients (72%) the N-stage was evaluated. Endosonography represents a method which can accurately predict tumor infiltration and regional lymph node metastases."
19,CD010213,0,22675144,0,Gastric GIST with synchronous neuroendocrine tumour of the pancreas in a patient without neurofibromatosis type 1.,"The gastrointestinal stromal tumours (GISTs) are the most common mesenchymal tumours of the gastrointestinal tract. These are rare tumours with an incidence of 15 new cases per million per year. The occurrence of neuroendocrine tumours of the pancreas is rare, representing 1-5% of pancreatic cancers, and it is estimated that its incidence does not exceed five to one million. GISTs are common in patients with neurofibromatosis type 1 (NF1); there are few reported cases of synchronous neuroendocrine tumours in these patients and most are pheochromocytomas. The case reports a 64-year-old woman referred to the General Surgery Outpatient for incidental finding of gastric and pancreatic tumours. She underwent a radical subtotal pancreatectomy + partial gastrectomy with jejunal transposition. The pathological examination revealed: gastric GISTs and a well-differentiated neuroendocrine carcinoma of the pancreas. This is the second case published so far of a patient with both tumours and without NF1. Posterior studies must be performed to evaluate if some other genetic disorder is involved in these patients without NF1.","Gastric GIST with synchronous neuroendocrine tumour of the pancreas in a patient without neurofibromatosis type 1. - The gastrointestinal stromal tumours (GISTs) are the most common mesenchymal tumours of the gastrointestinal tract. These are rare tumours with an incidence of 15 new cases per million per year. The occurrence of neuroendocrine tumours of the pancreas is rare, representing 1-5% of pancreatic cancers, and it is estimated that its incidence does not exceed five to one million. GISTs are common in patients with neurofibromatosis type 1 (NF1); there are few reported cases of synchronous neuroendocrine tumours in these patients and most are pheochromocytomas. The case reports a 64-year-old woman referred to the General Surgery Outpatient for incidental finding of gastric and pancreatic tumours. She underwent a radical subtotal pancreatectomy + partial gastrectomy with jejunal transposition. The pathological examination revealed: gastric GISTs and a well-differentiated neuroendocrine carcinoma of the pancreas. This is the second case published so far of a patient with both tumours and without NF1. Posterior studies must be performed to evaluate if some other genetic disorder is involved in these patients without NF1."
20,CD010213,0,26375415,1,EUS and EUS-FNA diagnosis of suspected pancreatic cystic neoplasms: Is the sum of the parts greater than the CEA?,Carcinoembryonic antigen (CEA) is suggested as the single most useful EUS/EUS-FNA derived test for the diagnosis of mucinous pancreatic cysts.,EUS and EUS-FNA diagnosis of suspected pancreatic cystic neoplasms: Is the sum of the parts greater than the CEA? - Carcinoembryonic antigen (CEA) is suggested as the single most useful EUS/EUS-FNA derived test for the diagnosis of mucinous pancreatic cysts.
21,CD010213,0,8626891,1,FDG-PET evaluation of indeterminate pancreatic masses.,The purpose of this study was to assess the ability of PET with 2-[18F]fluoro-2-deoxy-D-glucose (FDG) to differentiate benign from malignant pancreatic masses in patients with indeterminate findings on CT.,FDG-PET evaluation of indeterminate pancreatic masses. - The purpose of this study was to assess the ability of PET with 2-[18F]fluoro-2-deoxy-D-glucose (FDG) to differentiate benign from malignant pancreatic masses in patients with indeterminate findings on CT.
22,CD010213,0,20443074,1,Impact of 18-fluorodeoxyglucose positron emission tomography on the management of pancreatic cancer.,We compared the usefulness of positron emission tomography with the glucose analogue 2-deoxy-2-[18F]-fluoro-D-glucose (FDG-PET) and multidetector-row computed tomography (MD-CT) in diagnosing pancreatic cancer and in determining the patients' suitability for surgery.,Impact of 18-fluorodeoxyglucose positron emission tomography on the management of pancreatic cancer. - We compared the usefulness of positron emission tomography with the glucose analogue 2-deoxy-2-[18F]-fluoro-D-glucose (FDG-PET) and multidetector-row computed tomography (MD-CT) in diagnosing pancreatic cancer and in determining the patients' suitability for surgery.
23,CD010213,0,18981550,0,A resected case of solitary pancreatic metastasis from adenocarcinoma of the lung.,"Primary lung cancer frequently metastasizes to distant organs; however, the pancreas is a relatively infrequent site of metastasis. Because most metastatic cases in the pancreas tend to be discovered in patients only after malignant disease has become widely disseminated, it is extremely rare that a metachronous metastatic lesion limited to the pancreas is discovered with postoperative imaging and is surgically resectable. Most patients demonstrate accompanying metastases to other organs, especially in cases of lung cancer, which prove to be surgically unresectable when diagnosed. Although several cases have been reported of patients who underwent pancreatic resection for curative intent, most patients died from recurrent disease.","A resected case of solitary pancreatic metastasis from adenocarcinoma of the lung. - Primary lung cancer frequently metastasizes to distant organs; however, the pancreas is a relatively infrequent site of metastasis. Because most metastatic cases in the pancreas tend to be discovered in patients only after malignant disease has become widely disseminated, it is extremely rare that a metachronous metastatic lesion limited to the pancreas is discovered with postoperative imaging and is surgically resectable. Most patients demonstrate accompanying metastases to other organs, especially in cases of lung cancer, which prove to be surgically unresectable when diagnosed. Although several cases have been reported of patients who underwent pancreatic resection for curative intent, most patients died from recurrent disease."
